tag,first_name,last_name,team,age,gender
23E1 B8CF 2C21 76F3 118E 1127,Runner,1,Team,0,M
23E1 B8CF 2C21 76F3 118E 1128,Runner,2,Team,0,M
23E1 B8CF 2C21 76F3 118E 1129,Runner,3,Team,0,M
23E1 B8CF 2C21 76F3 118E 1130,Runner,4,Team,0,M
23E1 B8CF 2C21 76F3 118E 1131,Runner,5,Team,0,M
23E1 B8CF 2C21 76F3 118E 1132,Runner,6,Team,0,M
23E1 B8CF 2C21 76F3 118E 1133,Runner,7,Team,0,M
23E1 B8CF 2C21 76F3 118E 1134,Runner,8,Team,0,M
23E1 B8CF 2C21 76F3 118E 1135,Runner,9,Team,0,M
23E1 B8CF 2C21 76F3 118E 1136,Runner,10,Team,0,M
23E1 B8CF 2C21 76F3 118E 1137,Runner,11,Team,0,M
23E1 B8CF 2C21 76F3 118E 1138,Runner,12,Team,0,M
23E1 B8CF 2C21 76F3 118E 1139,Runner,13,Team,0,M
23E1 B8CF 2C21 76F3 118E 1140,Runner,14,Team,0,M
23E1 B8CF 2C21 76F3 118E 1141,Runner,15,Team,0,M
23E1 B8CF 2C21 76F3 118E 1142,Runner,16,Team,0,M
23E1 B8CF 2C21 76F3 118E 1143,Runner,17,Team,0,M
23E1 B8CF 2C21 76F3 118E 1144,Runner,18,Team,0,M
23E1 B8CF 2C21 76F3 118E 1145,Runner,19,Team,0,M
23E1 B8CF 2C21 76F3 118E 1146,Runner,20,Team,0,M
23E1 B8CF 2C21 76F3 118E 1147,Runner,21,Team,0,M
23E1 B8CF 2C21 76F3 118E 1148,Runner,22,Team,0,M
23E1 B8CF 2C21 76F3 118E 1149,Runner,23,Team,0,M
23E1 B8CF 2C21 76F3 118E 1150,Runner,24,Team,0,M
23E1 B8CF 2C21 76F3 118E 1151,Runner,25,Team,0,M
23E1 B8CF 2C21 76F3 118E 1152,Runner,26,Team,0,M
23E1 B8CF 2C21 76F3 118E 1153,Runner,27,Team,0,M
23E1 B8CF 2C21 76F3 118E 1154,Runner,28,Team,0,M
23E1 B8CF 2C21 76F3 118E 1155,Runner,29,Team,0,M
23E1 B8CF 2C21 76F3 118E 1156,Runner,30,Team,0,M
23E1 B8CF 2C21 76F3 118E 1157,Runner,31,Team,0,M
23E1 B8CF 2C21 76F3 118E 1158,Runner,32,Team,0,M
23E1 B8CF 2C21 76F3 118E 1159,Runner,33,Team,0,M
23E1 B8CF 2C21 76F3 118E 1160,Runner,34,Team,0,M
23E1 B8CF 2C21 76F3 118E 1161,Runner,35,Team,0,M
23E1 B8CF 2C21 76F3 118E 1162,Runner,36,Team,0,M
23E1 B8CF 2C21 76F3 118E 1163,Runner,37,Team,0,M
